Sentence,NER
a suspense horror film which has a mind blowing character who is portrait as mentally ill,"{'Genre': ['suspense horror'], 'Plot': ['has a mind blowing character who is portrait as mentally ill']}"
this movie s retelling of the classic fairytale does n t have the princess falling in love with the prince at the end,"{'Origin': ['retelling of the classic fairytale'], 'Plot': ['does n t have the princess falling in love with the prince at the end']}"
this 1982 film which also starred james earl jones as thulsa doom was the first box office success for austrian bodybuilder arnold schwarzenegger,"{'Year': ['1982'], 'Actor': ['james earl jones', 'arnold schwarzenegger'], 'Character_Name': ['thulsa doom'], 'Opinion': ['first box office success']}"
what war was taking place during the movie,{}
this classic horror movie involves a young priest and an old priest removing a demon spirit from a little girl,"{'Genre': ['classic horror'], 'Plot': ['a young priest and an old priest removing a demon spirit from a little girl']}"
this in theater experience features the equally loved and hated pop icon from canada who some say looks like ellen degeneres,"{'Plot': ['the equally loved and hated pop icon', 'who some say looks like ellen degeneres']}"
what gangster film starring tom hanks and filmed in and around chicago is based on an acclaimed graphic novel,"{'Genre': ['gangster'], 'Actor': ['tom hanks'], 'Origin': ['based on an acclaimed graphic novel']}"
what is the movie with leonardo dicaprio that he goes into other people s dreams and tries to fix things,"{'Actor': ['leonardo dicaprio'], 'Plot': ['he goes into other people s dreams and tries to fix things']}"
which movie that came out in 1995 features detectives following a serial killer who showcases dante s deadly sins,"{'Year': ['1995'], 'Plot': ['detectives following a serial killer who showcases dante s deadly sins']}"
what is the 2011 stoner comedy that is the latest instalment in a series that follows john cho and kal penn as they set out on a quest to find the perfect christmas tree,"{'Year': ['2011'], 'Genre': ['comedy'], 'Relationship': ['latest instalment'], 'Character_Name': ['john cho', 'kal penn'], 'Plot': ['they set out on a quest to find the perfect christmas tree']}"
what s that scary movie about a serial killer who returns to a small town to kill everyone born on the day he supposedly died,"{'Genre': ['scary'], 'Plot': ['a serial killer who returns to a small town to kill everyone born on the day he supposedly died']}"
what is the sequel to the 1987 film about a stock broker seeking to restore his empire,"{'Relationship': ['sequel'], 'Year': ['1987'], 'Plot': ['a stock broker seeking to restore his empire']}"
i am thinking of a film about a manufacturer who initially inadvertently saves thousands of jews from certain death during the holocaust,{'Plot': ['manufacturer who initially inadvertently saves thousands of jews from certain death during the holocaust']}
what is the classic comedy about the old west that was written directed and starred mel brooks,"{'Genre': ['classic comedy'], 'Actor': ['mel brooks']}"
what is the movie starring robert de niro about a boxer s life that was directed by martin scorsese,"{'Actor': ['robert de niro'], 'Plot': ['a boxer s life that'], 'Director': ['martin scorsese']}"
jeremy renner takes over for matt damon in the highly popular book and movie series about espionage in what movie,"{'Actor': ['jeremy renner', 'matt damon'], 'Opinion': ['highly popular'], 'Plot': ['book and movie series about espionage']}"
the trials and effects the civil war have on a rich southern family,{'Plot': ['the trials and effects the civil war have on a rich southern family']}
what is the 2010 american comedy film starring jonah hill and russell brand in which brand stars as the rocker aldous snow,"{'Year': ['2010'], 'Genre': ['american comedy'], 'Actor': ['jonah hill', 'russell brand'], 'Character_Name': ['aldous snow']}"
what s the teen comedy about a girl whose halloween night is ruined when her brother goes missing,"{'Genre': ['teen comedy'], 'Plot': ['a girl whose halloween night is ruined when her brother goes missing']}"
this martin scorsese film contains the classic moment of robert deniro looking in the mirror and asking you looking at me,"{'Director': ['martin scorsese'], 'Actor': ['robert deniro'], 'Quote': ['you looking at me']}"
this 2011 steve carell movie is about a guy who has n t dated in awhile learning how to pick up girls,"{'Year': ['2011'], 'Actor': ['steve carell'], 'Plot': ['a guy who has n t dated in awhile learning how to pick up girls']}"
which 1981 american cyberpunk action film directed by john carpenter stars kurt russell as snake plissken,"{'Year': ['1981'], 'Genre': ['american cyberpunk action'], 'Director': ['john carpenter'], 'Actor': ['kurt russell'], 'Character_Name': ['snake plissken']}"
what is the 1988 movie starring bruce willis where he plays nypd officer john mcclane,"{'Year': ['1988'], 'Actor': ['bruce willis'], 'Plot': ['nypd officer'], 'Character_Name': ['john mcclane']}"
i am thinking about a classic film starring jimmy stewart as a wholesome young man who gets involved with corrupt politicians,"{'Genre': ['classic'], 'Actor': ['jimmy stewart'], 'Plot': ['wholesome young man who gets involved with corrupt politicians']}"
often referred to as a female companion piece to the hangover this movie stars a group of women competing to determine who is the maid of honor,{'Plot': ['a group of women competing to determine who is the maid of honor']}
one of the most famous glass trophy race winners in history is the star of this epic picture,{'Opinion': ['epic']}
colin firth won an academy award for best actor in this movie based on a historical drama,"{'Actor': ['colin firth'], 'Award': ['academy award', 'best actor'], 'Genre': ['historical drama']}"
yasujiro ozu directs this spare emotionally devastating drama about a couple coming to visit their children in japan,"{'Director': ['yasujiro ozu'], 'Opinion': ['emotionally devastating'], 'Genre': ['drama'], 'Plot': ['a couple coming to visit their children in japan']}"
i m thinking of a 1948 film that stars judy garland and fred astaire as a dancing team who drift apart and find new partners,"{'Year': ['1948'], 'Actor': ['judy garland', 'fred astaire'], 'Plot': ['a dancing team who drift apart and find new partners']}"
have you seen that movie about a small town that is exposed to a chemical spill essentially turning them into zombies,{'Plot': ['small town that is exposed to a chemical spill essentially turning them into zombies']}
what s the children s movie that features a family of four inch people living in a 14 year old boy s home,"{'Genre': ['children'], 'Plot': ['a family of four inch people living in a 14 year old boy s home']}"
what is the movie where a boy and a tiger get shipwrecked and are stranded on a boat,{'Plot': ['a boy and a tiger get shipwrecked and are stranded on a boat']}
what is the movie that models hamlet through a family of lions in the african sahara made by disney,"{'Plot': ['models hamlet through a family of lions in the african sahara'], 'Origin': ['made by disney']}"
this movie tells the true story of a soft spoken writer as he completes what many consider to be his greatest work another title for this movie might be in cold blood the name of the book the author in the movie is completing what is the name of this film,{'Plot': ['a soft spoken writer as he completes what many consider to be his greatest work']}
i am thinking of the 90 s era chase movie that blew up the careers of both keanu reeves and sandra bullock,"{'Year': ['90 s era'], 'Actor': ['keanu reeves', 'sandra bullock']}"
what is the movie about a reindeer at the north pole who gets teased because of the color of his nose,{'Plot': ['reindeer at the north pole who gets teased because of the color of his nose']}
what humphrey bogart film considered by many to be the best film ever made introduced us to the phrase here s looking at you kid,"{'Actor': ['humphrey bogart'], 'Opinion': ['best film ever made'], 'Quote': ['here s looking at you kid']}"
by the time of the 2006 academy awards this best documentary winner about an animal s arctic yearly migration had out grossed all 5 best picture nominees,"{'Year': ['2006'], 'Award': ['academy awards', 'best documentary winner', 'best picture'], 'Plot': ['an animal s arctic yearly migration']}"
what is the name of the movie based on a very famous book about sisters living in the 1800 s,"{'Opinion': ['very famous'], 'Origin': ['book about sisters living in the 1800 s']}"
sigourney weaver stars in this science fiction horror film directed by ridley scott that spawned sequels,"{'Actor': ['sigourney weaver'], 'Genre': ['science fiction horror'], 'Director': ['ridley scott'], 'Relationship': ['sequels']}"
what is the movie based off an animated bear who has friends like a pig and a tiger,{'Plot': ['animated bear who has friends like a pig and a tiger']}
what is the name of the 1954 movie directed by stanley donen focused on the courting of a group of females by a group of related males,"{'Year': ['1954'], 'Director': ['stanley donen'], 'Plot': ['the courting of a group of females by a group of related males']}"
what 2011 animated film itself a sequel starred jack black as a klumsy but lovable bear,"{'Year': ['2011'], 'Genre': ['animated'], 'Relationship': ['itself a sequel'], 'Actor': ['jack black']}"
this miyazaki film won an oscar for best animated feature,"{'Director': ['miyazaki'], 'Award': ['oscar for best animated feature']}"
what is this 1968 horror movie that sparked the zombie craze,"{'Year': ['1968'], 'Genre': ['horror']}"
what is the movie about the bear who has friends that are a rabbit kangaroo and a tigger,{'Plot': ['the bear who has friends that are a rabbit kangaroo and a tigger']}
i m thinking of a movie that involves two hitmen a boxer a gangsters wife all four of them intertwine with each other throughout various parts in the film,{'Plot': ['two hitmen a boxer a gangsters wife all four of them intertwine with each other throughout various parts in the film']}
what is the movie featuring two women played by geena davis and susan sarandon who take off in a thunderbird,"{'Actor': ['geena davis', 'susan sarandon'], 'Plot': ['and', 'take off in a thunderbird']}"
what is the name of the movie where drew barrymore and justin long have a relationship even though they live on opposite coasts,"{'Actor': ['drew barrymore', 'justin long'], 'Plot': ['have a relationship even though they live on opposite coasts']}"
what s that movie about the grumpy semi bald guy that relives the same day over and over,{'Plot': ['grumpy semi bald guy that relives the same day over and over']}
what is this 1997 masterpiece directed by james cameron featuring a ship crashing into an iceberg,"{'Year': ['1997'], 'Opinion': ['masterpiece'], 'Director': ['james cameron'], 'Plot': ['a ship crashing into an iceberg']}"
what was the 2010 movie starring leonardo dicaprio as a police officer investigating an asylum that was n t as it seemed,"{'Year': ['2010'], 'Actor': ['leonardo dicaprio'], 'Plot': ['police officer investigating an asylum']}"
what female friendly adult comedy featured a breakout role for melissa mccarthy as a tomboy ish sexed crazed sister of the groom,"{'Opinion': ['female friendly'], 'Genre': ['adult comedy'], 'Actor': ['melissa mccarthy'], 'Plot': ['a tomboy ish sexed crazed sister of the groom']}"
what s the movie based on the melville novel about a monomaniacal sea captain hunting a giant white whale,"{'Origin': ['melville novel'], 'Plot': ['a monomaniacal sea captain hunting a giant white whale']}"
what ang lee film was oscar nominated for best picture while winning the best foreign language film oscar,"{'Director': ['ang lee'], 'Award': ['oscar nominated for best picture', 'winning the best foreign language film oscar']}"
what is the movie starring christopher reeve as a playwright who finds a way to go into the past to find the woman he loves,"{'Actor': ['christopher reeve'], 'Plot': ['playwright who finds a way to go into the past to find the woman he loves']}"
name a coen brothers movie that involves a playwright moving to california to work for movie producers,"{'Director': ['coen brothers'], 'Plot': ['a playwright moving to california to work for movie producers']}"
i am thinking of the blockbuster 70 s film that stars sylvester stallone as a philadelphia boxer,"{'Opinion': ['blockbuster'], 'Year': ['70 s'], 'Actor': ['sylvester stallone'], 'Plot': ['philadelphia boxer']}"
a 1968 movie with hal 9000 directed by stanley kubrick and is also written by him and arthur c clarke,"{'Year': ['1968'], 'Character_Name': ['hal 9000'], 'Director': ['stanley kubrick']}"
i m thinking of a 1989 movie about a close circle of friends starring shirley maclaine and olympia dukakis,"{'Year': ['1989'], 'Plot': ['a close circle of friends'], 'Actor': ['shirley maclaine', 'olympia dukakis']}"
what is the french documentary directed by jacques yves cousteau and louis malle about exploring the underwater depths of the oceans,"{'Genre': ['french documentary'], 'Director': ['jacques yves cousteau', 'louis malle'], 'Plot': ['exploring the underwater depths of the oceans']}"
what is the shakespeare movie about a black man married to a white woman that he kills,"{'Origin': ['shakespeare'], 'Plot': ['black man married to a white woman that he kills']}"
what chinese thriller set in the world of a hong kong triad inspired the academy award winning film the departed,"{'Genre': ['chinese thriller'], 'Award': ['academy award'], 'Relationship': ['the departed']}"
which movie by ridley scott is about machines who have come to believe they are human,"{'Director': ['ridley scott'], 'Plot': ['about machines who have come to believe they are human']}"
what is the 2011 movie starring ryan reynolds as a test pilot given an alien ring,"{'Year': ['2011'], 'Actor': ['ryan reynolds'], 'Plot': ['test pilot given an alien ring']}"
what gross early 90 s horror movie was directed by lord of the rings genius peter jackson,"{'Year': ['early 90'], 'Genre': ['horror'], 'Director': ['peter jackson']}"
what s that movie about the old guy who creates a theme park about dinosaurs that get loose,{'Plot': ['old guy who creates a theme park about dinosaurs that get loose']}
this 2010 movie starring robert downey jr was shipped to theaters under the code name maternity day,"{'Year': ['2010'], 'Actor': ['robert downey jr']}"
what is the name of the recent sience fiction horror film with joel edgerton as the lead male role,"{'Genre': ['sience fiction horror'], 'Actor': ['joel edgerton']}"
astronauts crash land on this earth like planet where humans are caged and treated like zoo animals,{'Plot': ['astronauts crash land on this earth like planet where humans are caged and treated like zoo animals']}
what is the name of the first movie made by john singleton in which ice cube and cuba gooding is starring,"{'Director': ['john singleton'], 'Actor': ['ice cube', 'cuba gooding']}"
a girl with really really long hair gets stuck high in a tower where a lady keeps her,{'Plot': ['a girl with really really long hair gets stuck high in a tower where a lady keeps her']}
remade by william friedkin in 1977 as sorcerer this 1953 thriller depicts a group of men trying to drive truck load of explosives across dangerous terrain,"{'Director': ['william friedkin'], 'Year': ['1977', '1953'], 'Plot': ['sorcerer', 'of men trying to drive truck load of explosives across dangerous terrain'], 'Genre': ['thriller']}"
i need the name of the shakespeare movie about the guy who says to be or not to be,"{'Origin': ['shakespeare'], 'Plot': ['guy who says'], 'Quote': ['to be or not to be']}"
louis armstrong was only on set for a half day and did his shots in one take in this barbra streisand musical,"{'Actor': ['louis armstrong', 'barbra streisand'], 'Genre': ['musical']}"
bruce willis starred in this 80 s action film about a man in the wrong place at the wrong time,"{'Actor': ['bruce willis'], 'Year': ['80 s'], 'Genre': ['action'], 'Plot': ['a man in the wrong place at the wrong time']}"
i m thinking of a film that features a down and out actor that goes in drag for the ultimate role a leading woman on a soap opera,{'Plot': ['a down and out actor that goes in drag for the ultimate role a leading woman on a soap opera']}
what is the 2010 childrens film based on a beloved book about two sisters growing up and dealing with each other,"{'Year': ['2010'], 'Genre': ['childrens'], 'Origin': ['based on a beloved book'], 'Plot': ['about two sisters growing up and dealing with each other']}"
name the pixar animation film about a robot that ends up saving the human race and earth in the future,"{'Genre': ['pixar animation'], 'Plot': ['robot that ends up saving the human race and earth in the future']}"
a cop gets stuck crawling around in a building trying to take down some terrorists,{'Plot': ['a cop gets stuck crawling around in a building trying to take down some terrorists']}
i am thinking of a classic film that tells the story of an alien who comes to earth with a giant metal robot his mission is to issue the people of earth an ultimatum,"{'Opinion': ['classic'], 'Plot': ['the story of an alien who comes to earth with a giant metal robot his mission is to issue the people of earth an ultimatum']}"
this love story movie beat saving private ryan for best picture in the late nineties,"{'Genre': ['love story'], 'Award': ['best picture'], 'Year': ['nineties']}"
what is the name of the movie involving the man of steal and his great love lois,"{'Plot': ['the man of steal and his great love'], 'Character_Name': ['lois']}"
wes anderson directed this animated adaption of roald dahl s story featuring the voices of george clooney and meryl streep,"{'Director': ['wes anderson'], 'Genre': ['animated'], 'Origin': ['adaption of roald dahl s story'], 'Actor': ['george clooney', 'meryl streep']}"
what is the 2012 american war film starring chris hemsworth and directed by dan bradley,"{'Year': ['2012'], 'Genre': ['american war film'], 'Actor': ['chris hemsworth'], 'Director': ['dan bradley']}"
i m thinking of a 2010 movie starring danny trejo as an ex federale who seek revenge on the man who hired him to assassinate an important government official,"{'Year': ['2010'], 'Actor': ['danny trejo'], 'Plot': ['ex federale who seek revenge on the man who hired him to assassinate an important government official']}"
what was the movie about a serial killer who invaded the dreams of local teenagers,{'Plot': ['serial killer who invaded the dreams of local teenagers']}
i am thinking of a classic film starring natalie wood and rita moreno that is based on a famous broadway musical,"{'Genre': ['classic film'], 'Actor': ['natalie wood', 'rita moreno']}"
movie that takes place in the city of lights starring owen wilson and a blonde girl,"{'Plot': ['takes place in the city of lights'], 'Actor': ['owen wilson']}"
what is the musical starring barbara streisand who plays the 1920 s broadway star fanny brice,"{'Genre': ['musical'], 'Actor': ['barbara streisand'], 'Plot': ['the 1920 s broadway star'], 'Character_Name': ['fanny brice']}"
which film tells the story of a preteen who s life is changed after befriending the new girl at school,{'Plot': ['story of a preteen who s life is changed after befriending the new girl at school']}
how many movies was tom hanks in by the time this movie was made to date,{'Actor': ['tom hanks']}
what is the 1998 movie starring jeff bridges and john goodman about the dude who is mistaken for a millionaire and seeks restitution for his ruined rug,"{'Year': ['1998'], 'Actor': ['jeff bridges', 'john goodman'], 'Plot': ['the dude who is mistaken for a millionaire and seeks restitution for his ruined rug']}"
jack nicholson even more crazy than usual stars in this film set in a mental institution,{'Actor': ['jack nicholson']}
what is the movie with nicholas cage in it that he rides around on a motorcycle and gets fire on his head when he is mad i think it s based on a comic book,"{'Actor': ['nicholas cage'], 'Plot': ['he rides around on a motorcycle and gets fire on his head when he is mad'], 'Origin': ['based on a comic book']}"
what is the movie that has a baseball coach and his assistant using reject baseball players to form a winning team,{'Plot': ['a baseball coach and his assistant using reject baseball players to form a winning team']}
what is the movie with judy garland who plays dorothy and she her dog toto the tin man the cowardly lion and the scarecrow take a journey down the yellow brick road,"{'Actor': ['judy garland'], 'Character_Name': ['dorothy', 'toto', 'tin man', 'cowardly lion', 'scarecrow'], 'Plot': ['a journey down the yellow brick road']}"
what comedy film stars russell brand as an eccentric musician and jonah hill as a young assistant,"{'Genre': ['comedy'], 'Actor': ['russell brand', 'jonah hill'], 'Plot': ['eccentric musician', 'young assistant']}"
what was the much anticipated sequel movie shot in 2011 about a bunch of guys who went to thailand and had the worst hangover of all time,"{'Relationship': ['sequel'], 'Year': ['2011'], 'Plot': ['about a bunch of guys who went to thailand and had the worst hangover of all time']}"
what 2012 movie directed by oliver megaton followed up the fallout of bryan mills rescue of his kidnapped daughter,"{'Year': ['2012'], 'Director': ['oliver megaton'], 'Plot': ['followed up the fallout of bryan mills rescue of his kidnapped daughter']}"
tell me the movie with russel crow who plays a very smart guy who has a deaf baby,"{'Actor': ['russel crow'], 'Plot': ['a very smart guy who has a deaf baby']}"
do you know the nicholas sparks story that was turned into a film starring miley cyrus and her fiance liam hemsworth,"{'Origin': ['nicholas sparks story'], 'Actor': ['miley cyrus', 'liam hemsworth']}"
what is the scorcese masterpiece that is in black and white and is about the boxer jake lamotta,"{'Director': ['scorcese'], 'Opinion': ['masterpiece'], 'Plot': ['about the boxer jake lamotta']}"
what clive barker horror film shows how an urban legend is brought to life by saying his name into a mirror,"{'Director': ['clive barker'], 'Genre': ['horror'], 'Plot': ['an urban legend is brought to life by saying his name into a mirror']}"
i am thinking of a film that stars ben stiller as the leader of a group of employees who are cheated out of their money by a crooked businessman,"{'Actor': ['ben stiller'], 'Plot': ['leader of a group of employees who are cheated out of their money by a crooked businessman']}"
what 1951 adventure film starred robert morley and katharine hepburn as samuel and rose saye,"{'Year': ['1951'], 'Genre': ['adventure'], 'Actor': ['robert morley', 'katharine hepburn'], 'Character_Name': ['samuel', 'rose saye']}"
in this film cary grant plays a reporter trying to keep his ex from remarrying and moving to the country,"{'Actor': ['cary grant'], 'Plot': ['a reporter trying to keep his ex from remarrying and moving to the country']}"
a playful romantic comedy with meryl streep and tommy lee jones a sex therapist played by steve carell counsels a couple to put excitement back into their marriage,"{'Opinion': ['playful'], 'Genre': ['romantic comedy'], 'Actor': ['meryl streep', 'tommy lee jones', 'steve carell'], 'Plot': ['a sex therapist', 'counsels a couple to put excitement back into their marriage']}"
what s the name of that movie ron howard and george lucas made where the evil queen arrests all pregnant women,"{'Director': ['ron howard', 'george lucas'], 'Plot': ['evil queen arrests all pregnant women']}"
montgomery clift murders shelley winters because he is desperately in love with elizabeth taylor in this george stevens film,"{'Actor': ['montgomery clift', 'shelley winters', 'elizabeth taylor'], 'Plot': ['murders', 'because he is desperately in love with'], 'Director': ['george stevens']}"
i m thinking of an 80 s film starring nicholas cage and holly hunter as kidnappers who steal a baby,"{'Year': ['80'], 'Actor': ['nicholas cage', 'holly hunter'], 'Plot': ['kidnappers', 'steal a baby']}"
