Sentence,NER,types
LONDON 1996-08-30,"{""LOC"": [""LONDON""]}",conll2003
The world 's costliest footballer Alan Shearer was named as the new England captain on Friday .,"{""PER"": [""Alan Shearer""], ""LOC"": [""England""]}",conll2003
"The 26-year-old , who joined Newcastle for 15 million pounds sterling ( $ 23.4 million ) , takes over from Tony Adams , who led the side during the European championship in June , and former captain David Platt .","{""ORG"": [""Newcastle""], ""PER"": [""Tony Adams"", ""David Platt""], ""MISC"": [""European""]}",conll2003
Adams and Platt are both injured and will miss England 's opening World Cup qualifier against Moldova on Sunday .,"{""PER"": [""Adams"", ""Platt""], ""LOC"": [""England"", ""Moldova""], ""MISC"": [""World Cup""]}",conll2003
"Shearer takes the captaincy on a trial basis , but new coach Glenn Hoddle said he saw no reason why the former Blackburn and Southampton skipper should not make the post his own .","{""PER"": [""Shearer"", ""Glenn Hoddle""], ""ORG"": [""Blackburn"", ""Southampton""]}",conll2003
""" I 'm sure there wo n't be a problem , I 'm sure Alan is the man for the job , "" Hoddle said .","{""PER"": [""Alan"", ""Hoddle""]}",conll2003
""" There were three or four people who could have done it but when I spoke to Alan he was up for it and really wanted it .","{""PER"": [""Alan""]}",conll2003
""" In four days it 's very difficult to come to a 100 percent conclusion about something like this ...",{},conll2003
"but he knows how to conduct himself , his team mates respect him and he knows about the team situation even though he plays up front . """,{},conll2003
Shearer 's Euro 96 striking partner Teddy Sheringham withdrew from the squad with an injury on Friday .,"{""PER"": [""Shearer"", ""Teddy Sheringham""], ""MISC"": [""Euro 96""]}",conll2003
He will probably be replaced by Shearer 's Newcastle team mate Les Ferdinand .,"{""PER"": [""Shearer"", ""Les Ferdinand""], ""ORG"": [""Newcastle""]}",conll2003
-DOCSTART-,{},conll2003
BASKETBALL - INTERNATIONAL TOURNAMENT RESULT .,{},conll2003
BELGRADE 1996-08-30,"{""LOC"": [""BELGRADE""]}",conll2003
Result in an international,{},conll2003
basketball tournament on Friday :,{},conll2003
Red Star ( Yugoslavia ) beat Dinamo ( Russia ) 92-90 ( halftime,"{""ORG"": [""Red Star"", ""Dinamo""], ""LOC"": [""Yugoslavia"", ""Russia""]}",conll2003
47-47 ),{},conll2003
-DOCSTART-,{},conll2003
SOCCER - ROMANIA BEAT LITHUANIA IN UNDER-21 MATCH .,"{""LOC"": [""ROMANIA"", ""LITHUANIA""]}",conll2003
BUCHAREST 1996-08-30,"{""LOC"": [""BUCHAREST""]}",conll2003
Romania beat Lithuania 2-1 ( halftime 1-1 ) in their European under-21 soccer match on Friday .,"{""LOC"": [""Romania"", ""Lithuania""], ""MISC"": [""European""]}",conll2003
Scorers :,{},conll2003
"Romania - Cosmin Contra ( 31st ) , Mihai Tararache ( 75th )","{""LOC"": [""Romania""], ""PER"": [""Cosmin Contra"", ""Mihai Tararache""]}",conll2003
Lithuania - Danius Gleveckas ( 13rd ),"{""LOC"": [""Lithuania""], ""PER"": [""Danius Gleveckas""]}",conll2003
Attendance : 200,{},conll2003
-DOCSTART-,{},conll2003
SOCCER - ROTOR FANS LOCKED OUT AFTER VOLGOGRAD VIOLENCE .,"{""ORG"": [""ROTOR""], ""LOC"": [""VOLGOGRAD""]}",conll2003
MOSCOW 1996-08-30,"{""LOC"": [""MOSCOW""]}",conll2003
Rotor Volgograd must play their next home game behind closed doors after fans hurled bottles and stones at Dynamo Moscow players during a 1-0 home defeat on Saturday that ended Rotor 's brief spell as league leaders .,"{""ORG"": [""Rotor Volgograd"", ""Dynamo Moscow"", ""Rotor""]}",conll2003
"The head of the Russian league 's disciplinary committee , Anatoly Gorokhovsky , said on Friday that Rotor would play Lada Togliatti to empty stands on September 3 .","{""MISC"": [""Russian""], ""PER"": [""Anatoly Gorokhovsky""], ""ORG"": [""Rotor"", ""Lada Togliatti""]}",conll2003
"The club , who put Manchester United out of last year 's UEFA Cup , were fined $ 1,000 .","{""ORG"": [""Manchester United""], ""MISC"": [""UEFA Cup""]}",conll2003
"Despite the defeat , Rotor are well placed with 11 games to play in the championship .","{""ORG"": [""Rotor""]}",conll2003
"Lying three points behind Alania and two behind Dynamo Moscow , the Volgograd side have a game in hand over the leaders and two over the Moscow club .","{""ORG"": [""Alania"", ""Dynamo Moscow""], ""LOC"": [""Volgograd"", ""Moscow""]}",conll2003
-DOCSTART-,{},conll2003
BOXING - PANAMA 'S ROBERTO DURAN FIGHTS THE SANDS OF TIME .,"{""LOC"": [""PANAMA""], ""PER"": [""ROBERTO DURAN""]}",conll2003
PANAMA CITY 1996-08-30,"{""LOC"": [""PANAMA CITY""]}",conll2003
"Panamanian boxing legend Roberto "" Hands of Stone "" Duran climbs into the ring on Saturday in another age-defying attempt to sustain his long career .","{""MISC"": [""Panamanian""], ""PER"": [""Roberto \"" Hands of Stone \"" Duran""]}",conll2003
"Duran , 45 , takes on little-known Mexican Ariel Cruz , 30 , in a super middleweight non-title bout in Panama City .","{""PER"": [""Duran"", ""Ariel Cruz""], ""MISC"": [""Mexican""], ""LOC"": [""Panama City""]}",conll2003
"The fight , Duran 's first on home soil for 10 years , is being billed here as the "" Return of the Legend "" and Duran still talks as if he was in his prime .","{""PER"": [""Duran"", ""Duran""], ""MISC"": [""Return of the Legend""]}",conll2003
""" I want a fifth title .",{},conll2003
This match is to prepare me .,{},conll2003
I feel good .,{},conll2003
"I 'm not retiring , "" Duran told Reuters .","{""PER"": [""Duran""], ""ORG"": [""Reuters""]}",conll2003
"But those close to the boxer acknowledge that the man who has won championships in four different weight classes -- lightweight , welterweight , junior middleweight and middleweight -- is drawing close to the end of his career .",{},conll2003
""" Each time he fights , he 's on the last frontier of his career .",{},conll2003
"If he loses Saturday , it could devalue his position as one of the world 's great boxers , "" Panamanian Boxing Association President Ramon Manzanares said .","{""MISC"": [""Panamanian""], ""ORG"": [""Boxing Association""], ""PER"": [""Ramon Manzanares""]}",conll2003
"Duran , whose 97-12 record spans three decades , hopes a win in the 10-round bout will earn him a rematch against Puerto Rico 's Hector "" Macho "" Camacho .","{""PER"": [""Duran"", ""Hector \"" Macho \"" Camacho""], ""LOC"": [""Puerto Rico""]}",conll2003
Camacho took a controversial points decision against the Panamanian in Atlantic City in June in a title fight .,"{""PER"": [""Camacho""], ""MISC"": [""Panamanian""], ""LOC"": [""Atlantic City""]}",conll2003
-DOCSTART-,{},conll2003
SQUASH - HONG KONG OPEN QUARTER-FINAL RESULTS .,"{""MISC"": [""HONG KONG OPEN""]}",conll2003
HONG KONG 1996-08-30,"{""LOC"": [""HONG KONG""]}",conll2003
Quarter-final results in the Hong Kong Open on Friday ( prefix number denotes seeding ) : 1 - Jansher Khan ( Pakistan ) beat Mark Cairns ( England ) 15-10 15-6 15-7,"{""MISC"": [""Hong Kong Open""], ""PER"": [""Jansher Khan"", ""Mark Cairns""], ""LOC"": [""Pakistan"", ""England""]}",conll2003
Anthony Hill ( Australia ) beat Dan Jenson ( Australia ) 15-9 15-8 15-17 17-15,"{""PER"": [""Anthony Hill"", ""Dan Jenson""], ""LOC"": [""Australia"", ""Australia""]}",conll2003
4 - Peter Nicol ( Scotland ) beat 7 - Chris Walker ( England ) 15-8 15-13 13-15 15-9,"{""PER"": [""Peter Nicol"", ""Chris Walker""], ""LOC"": [""Scotland"", ""England""]}",conll2003
2 - Rodney Eyles ( Australia ) beat Derek Ryan ( Ireland ) 15-6 15-9 11-15 15-10 .,"{""PER"": [""Rodney Eyles"", ""Derek Ryan""], ""LOC"": [""Australia"", ""Ireland""]}",conll2003
-DOCSTART-,{},conll2003
SOCCER - RESULTS OF SOUTH KOREAN PRO-SOCCER GAMES .,"{""MISC"": [""SOUTH KOREAN""]}",conll2003
SEOUL 1996-08-30,"{""LOC"": [""SEOUL""]}",conll2003
Results of South Korean pro-soccer,"{""MISC"": [""South Korean""]}",conll2003
games played on Thursday .,{},conll2003
Pohang 3 Ulsan 2 ( halftime 1-0 ),"{""ORG"": [""Pohang"", ""Ulsan""]}",conll2003
Puchon 2 Chonbuk 1 ( halftime 1-1 ),"{""ORG"": [""Puchon"", ""Chonbuk""]}",conll2003
Standings after games played on Thursday ( tabulate under -,{},conll2003
"won , drawn , lost , goals for , goals against , points ) :",{},conll2003
W D L G / F G / A P,{},conll2003
Puchon 3 1 0 6 1 10,"{""ORG"": [""Puchon""]}",conll2003
Chonan 3 0 1 13 10 9,"{""ORG"": [""Chonan""]}",conll2003
Pohang 2 1 1 11 10 7,"{""ORG"": [""Pohang""]}",conll2003
Suwan 1 3 0 7 3 6,"{""ORG"": [""Suwan""]}",conll2003
Ulsan 1 0 2 8 9 3,"{""ORG"": [""Ulsan""]}",conll2003
Anyang 0 3 1 6 9 3,"{""ORG"": [""Anyang""]}",conll2003
Chonnam 0 2 1 4 5 2,"{""ORG"": [""Chonnam""]}",conll2003
Pusan 0 2 1 3 7 2,"{""ORG"": [""Pusan""]}",conll2003
Chonbuk 0 0 3 3 7 0,"{""ORG"": [""Chonbuk""]}",conll2003
-DOCSTART-,{},conll2003
BASEBALL - RESULTS OF S. KOREAN PROFESSIONAL GAMES .,"{""MISC"": [""S. KOREAN""]}",conll2003
SEOUL 1996-08-30,"{""LOC"": [""SEOUL""]}",conll2003
Results of South Korean,"{""MISC"": [""South Korean""]}",conll2003
professional baseball games played on Thursday .,{},conll2003
LG 2 OB 0,"{""ORG"": [""LG"", ""OB""]}",conll2003
Lotte 6 Hyundai 2,"{""ORG"": [""Lotte"", ""Hyundai""]}",conll2003
Hyundai 6 Lotte 5,"{""ORG"": [""Hyundai"", ""Lotte""]}",conll2003
Haitai 2 Samsung 0,"{""ORG"": [""Haitai"", ""Samsung""]}",conll2003
Samsung 10 Haitai 3,"{""ORG"": [""Samsung"", ""Haitai""]}",conll2003
Hanwha 6 Ssangbangwool 5,"{""ORG"": [""Hanwha"", ""Ssangbangwool""]}",conll2003
"Note - Lotte and Hyundai , Haitai and Samsung played two games .","{""ORG"": [""Lotte"", ""Hyundai"", ""Haitai"", ""Samsung""]}",conll2003
Standings after games played on Thursday ( tabulate under,{},conll2003
"won , drawn , lost , winning percentage , games behind first place )",{},conll2003
W D L PCT GB,{},conll2003
Haitai 64 2 43 .596 -,"{""ORG"": [""Haitai""]}",conll2003
Ssangbangwool 59 2 49 .545 5 1/2,"{""ORG"": [""Ssangbangwool""]}",conll2003
Hanwha 58 1 49 .542 6,"{""ORG"": [""Hanwha""]}",conll2003
Hyundai 57 5 49 .536 6 1/2,"{""ORG"": [""Hyundai""]}",conll2003
Samsung 49 5 56 .468 14,"{""ORG"": [""Samsung""]}",conll2003
Lotte 46 6 54 .462 14 1/2,"{""ORG"": [""Lotte""]}",conll2003
LG 46 5 59 .441 17,"{""ORG"": [""LG""]}",conll2003
OB 42 6 62 .409 20 1/2,"{""ORG"": [""OB""]}",conll2003
-DOCSTART-,{},conll2003
TENNIS - FRIDAY 'S RESULTS FROM THE U.S. OPEN .,"{""MISC"": [""U.S. OPEN""]}",conll2003
NEW YORK 1996-08-30,"{""LOC"": [""NEW YORK""]}",conll2003
Results from the U.S. Open Tennis Championships at the National Tennis Centre on Friday ( prefix number denotes seeding ) :,"{""MISC"": [""U.S. Open Tennis Championships""], ""LOC"": [""National Tennis Centre""]}",conll2003
"Women 's singles , third round",{},conll2003
Sandrine Testud ( France ) beat Ines Gorrochategui ( Argentina ) 4-6 6-2 6-1,"{""PER"": [""Sandrine Testud"", ""Ines Gorrochategui""], ""LOC"": [""France"", ""Argentina""]}",conll2003
"Men 's singles , second round",{},conll2003
4 - Goran Ivanisevic ( Croatia ) beat Scott Draper ( Australia ) 6-7 ( 1-7 ) 6-3 6-4 6-4,"{""PER"": [""Goran Ivanisevic"", ""Scott Draper""], ""LOC"": [""Croatia"", ""Australia""]}",conll2003
Tim Henman ( Britain ) beat Doug Flach ( U.S. ) 6-3 6-4 6-2,"{""PER"": [""Tim Henman"", ""Doug Flach""], ""LOC"": [""Britain"", ""U.S.""]}",conll2003
Mark Philippoussis ( Australia ) beat Andrei Olhovskiy ( Russia ) 6 - 3 6-4 6-2,"{""PER"": [""Mark Philippoussis"", ""Andrei Olhovskiy""], ""LOC"": [""Australia"", ""Russia""]}",conll2003
Sjeng Schalken ( Netherlands ) beat David Rikl ( Czech Republic ) 6 - 2 6-4 6-4,"{""PER"": [""Sjeng Schalken"", ""David Rikl""], ""LOC"": [""Netherlands"", ""Czech Republic""]}",conll2003
Guy Forget ( France ) beat 17 - Felix Mantilla ( Spain ) 6-4 7-5 6-3,"{""PER"": [""Guy Forget"", ""Felix Mantilla""], ""LOC"": [""France"", ""Spain""]}",conll2003
"Men 's singles , second round",{},conll2003
Alexander Volkov ( Russia ) beat Mikael Tillstrom ( Sweden ) 1-6 6- 4 6-1 4-6 7-6 ( 10-8 ),"{""PER"": [""Alexander Volkov"", ""Mikael Tillstrom""], ""LOC"": [""Russia"", ""Sweden""]}",conll2003
Jonas Bjorkman ( Sweden ) beat David Nainkin ( South Africa ) ) 6-4 6-1 6-1,"{""PER"": [""Jonas Bjorkman"", ""David Nainkin""], ""LOC"": [""Sweden"", ""South Africa""]}",conll2003
"Women 's singles , third round",{},conll2003
8 - Lindsay Davenport ( U.S. ) beat Anne-Gaelle Sidot ( France ) 6-0 6-3,"{""PER"": [""Lindsay Davenport"", ""Anne-Gaelle Sidot""], ""LOC"": [""U.S."", ""France""]}",conll2003
4 - Conchita Martinez ( Spain ) beat Helena Sukova ( Czech Republic ) 6-4 6-3,"{""PER"": [""Conchita Martinez"", ""Helena Sukova""], ""LOC"": [""Spain"", ""Czech Republic""]}",conll2003
Amanda Coetzer ( South Africa ) beat Irina Spirlea ( Romania ) 7-6 ( 7-5 ) 7-5,"{""PER"": [""Amanda Coetzer"", ""Irina Spirlea""], ""LOC"": [""South Africa"", ""Romania""]}",conll2003
"Add Men 's singles , second round 16 - Cedric Pioline ( France ) beat Roberto Carretero ( Spain ) 4-6 6 - 2 6-2 6-1 Alex Corretja ( Spain ) beat Filippo Veglio ( Switzerland ) 6-7 ( 4- 7 ) 6-4 6-4 6-0","{""PER"": [""Cedric Pioline"", ""Roberto Carretero"", ""Alex Corretja"", ""Filippo Veglio""], ""LOC"": [""France"", ""Spain"", ""Spain"", ""Switzerland""]}",conll2003
"Add Women 's singles , third round Linda Wild ( U.S. ) beat Barbara Rittner ( Germany ) 6-4 4-6 7-5 Asa Carlsson ( Sweden ) beat 15 - Gabriela Sabatini ( Argentina ) 7-5 3-6 6-2","{""PER"": [""Linda Wild"", ""Barbara Rittner"", ""Asa Carlsson"", ""Gabriela Sabatini""], ""LOC"": [""U.S."", ""Germany"", ""Sweden"", ""Argentina""]}",conll2003
"Add Men 's singles , second round 1 - Pete Sampras ( U.S. ) beat Jiri Novak ( Czech Republic ) 6-3 1-6 6-3 4-6 6-4 Paul Haarhuis ( Netherlands ) beat Michael Tebbutt ( Australia ) 1- 6 6-2 6-2 6-3","{""PER"": [""Pete Sampras"", ""Jiri Novak"", ""Paul Haarhuis"", ""Michael Tebbutt""], ""LOC"": [""U.S."", ""Czech Republic"", ""Netherlands"", ""Australia""]}",conll2003
"Add Women 's singles , third round Lisa Raymond ( U.S. ) beat Kimberly Po ( U.S. ) 6-3 6-2","{""PER"": [""Lisa Raymond"", ""Kimberly Po""], ""LOC"": [""U.S."", ""U.S.""]}",conll2003
:,{},conll2003
"Add men 's singles , second round",{},conll2003
Hendrik Dreekmann ( Germany ) beat Thomas Johansson ( Sweden ),"{""PER"": [""Hendrik Dreekmann"", ""Thomas Johansson""], ""LOC"": [""Germany"", ""Sweden""]}",conll2003
7-6 ( 7-1 ) 6-2 4-6 6-1,{},conll2003
Andrei Medvedev ( Ukraine ) beat Jan Kroslak ( Slovakia ) 6-4 6-3,"{""PER"": [""Andrei Medvedev"", ""Jan Kroslak""], ""LOC"": [""Ukraine"", ""Slovakia""]}",conll2003
6-2,{},conll2003
Petr Korda ( Czech Republic ) bat Bohdan Ulihrach ( Czech,"{""PER"": [""Petr Korda"", ""Bohdan Ulihrach""], ""LOC"": [""Czech Republic"", ""Czech""]}",conll2003
Republic ) 6-0 7-6 ( 7-5 ) 6-2,"{""LOC"": [""Republic""]}",conll2003
"Add women 's singles , third round",{},conll2003
2 - Monica Seles ( U.S. ) beat Dally Randriantefy ( Madagascar ),"{""PER"": [""Monica Seles"", ""Dally Randriantefy""], ""LOC"": [""U.S."", ""Madagascar""]}",conll2003
6-0 6-2,{},conll2003
:,{},conll2003
"Add men 's singles , second round 12 - Todd Martin ( U.S. ) beat Andrea Gaudenzi ( Italy ) 6-3 6-2 6-2 Stefan Edberg ( Sweden ) beat Bernd Karbacher ( Germany ) 3-6 6-3 6-3 1-0 retired ( leg injury )","{""PER"": [""Todd Martin"", ""Andrea Gaudenzi"", ""Stefan Edberg"", ""Bernd Karbacher""], ""LOC"": [""U.S."", ""Italy"", ""Sweden"", ""Germany""]}",conll2003
-DOCSTART-,{},conll2003
BASEBALL - MAJOR LEAGUE STANDINGS AFTER THURSDAY 'S GAMES .,"{""MISC"": [""MAJOR LEAGUE""]}",conll2003
NEW YORK 1996-08-30,"{""LOC"": [""NEW YORK""]}",conll2003
Major League Baseball,"{""MISC"": [""Major League Baseball""]}",conll2003
"standings after games played on Thursday ( tabulate under won ,",{},conll2003
"lost , winning percentage and games behind ) :",{},conll2003
AMERICAN LEAGUE,"{""MISC"": [""AMERICAN LEAGUE""]}",conll2003
EASTERN DIVISION,"{""MISC"": [""EASTERN DIVISION""]}",conll2003
W L PCT GB,{},conll2003
NEW YORK 74 59 .556 -,"{""ORG"": [""NEW YORK""]}",conll2003
BALTIMORE 70 63 .526 4,"{""ORG"": [""BALTIMORE""]}",conll2003
