Sentence,NER
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven, a lead of 234.","{'I-LOC': ['England'], 'I-PER': ['Mark Butcher'], 'I-ORG': ['Surrey']}"
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings, still 100 runs away from avoiding an innings defeat.","{'I-ORG': ['Derbyshire', 'Worcestershire']}"
"Australian Tom Moody took six for 82 but Chris Adams, 123, and Tim O'Gorman, 109, took Derbyshire to 471 and a first innings lead of 233.","{'I-MISC': [['Australian']], 'I-PER': ['Tom Moody', 'Chris Adams', ""Tim O'Gorman""], 'I-ORG': ['Derbyshire']}"
"After the frustration of seeing the opening day of their match badly affected by the weather, Kent stepped up a gear to dismiss Nottinghamshire for 214.","{'I-ORG': ['Kent', 'Nottinghamshire']}"
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55.,"{'I-PER': ['Paul Johnson', 'Martin McCague'], 'I-MISC': ['ex-England']}"
By stumps Kent had reached 108 for three.,{'I-ORG': ['Kent']}
-DOCSTART-,{}
CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES.,{'I-MISC': ['ENGLISH COUNTY CHAMPIONSHIP']}
LONDON 1996-08-30,{'I-LOC': ['LONDON']}
Result and close of play scores in English county championship matches on Friday :,{'I-MISC': ['English']}
Leicester : Leicestershire beat Somerset by an innings and 39 runs.,"{'I-LOC': ['Leicester'], 'I-ORG': ['Leicestershire', 'Somerset']}"
"Somerset 83 and 174 (P. Simmons 4-38), Leicestershire 296.","{'I-ORG': ['Somerset', 'Leicestershire'], 'I-PER': ['P. Simmons']}"
"Leicestershire 22 points, Somerset 4.","{'I-ORG': ['Leicestershire', 'Somerset']}"
"Chester-le-Street : Glamorgan 259 and 207 (A. Dale 69, H. Morris 69 ; D. Blenkiron 4-43), Durham 114 (S. Watkin 4-28) and 81-3.","{'I-LOC': ['Chester-le-Street'], 'I-ORG': ['Glamorgan', 'Durham'], 'I-PER': ['A. Dale', 'H. Morris', 'D. Blenkiron', 'S. Watkin']}"
"Tunbridge Wells : Nottinghamshire 214 (P. Johnson 84 ; M. McCague 4-55), Kent 108-3.","{'I-LOC': ['Tunbridge Wells'], 'I-ORG': ['Nottinghamshire', 'Kent'], 'I-PER': ['P. Johnson', 'M. McCague']}"
"London (The Oval) : Warwickshire 195, Surrey 429-7 (C. Lewis 80 not out, M. Butcher 70, G. Kersey 63, J. Ratcliffe 63, D. Bicknell 55).","{'I-LOC': ['London', 'The Oval'], 'I-ORG': ['Warwickshire', 'Surrey'], 'I-PER': ['C. Lewis', 'M. Butcher', 'G. Kersey', 'J. Ratcliffe', 'D. Bicknell']}"
"Hove : Sussex 363 (W. Athey 111, V. Drakes 52 ; I. Austin 4-37), Lancashire 197-8 (W. Hegg 54)","{'I-LOC': ['Hove'], 'I-ORG': ['Sussex', 'Lancashire'], 'I-PER': ['W. Athey', 'V. Drakes', 'I. Austin', 'W. Hegg']}"
"Portsmouth : Middlesex 199 and 426 (J. Pooley 111, M. Ramprakash 108, M. Gatting 83), Hampshire 232 and 109-5.","{'I-LOC': ['Portsmouth'], 'I-ORG': ['Middlesex', 'Hampshire'], 'I-PER': ['J. Pooley', 'M. Ramprakash', 'M. Gatting']}"
"Chesterfield : Worcestershire 238 and 133-5, Derbyshire 471 (J. Adams 123, T.O'Gorman 109 not out, K. Barnett 87 ; T. Moody 6-82)","{'I-LOC': ['Chesterfield'], 'I-ORG': ['Worcestershire', 'Derbyshire'], 'I-PER': ['J. Adams', ""T.O'Gorman"", 'K. Barnett', 'T. Moody']}"
"Bristol : Gloucestershire 183 and 185-6 (J. Russell 56 not out), Northamptonshire 190 (K. Curran 52 ; A. Smith 5-68).","{'I-LOC': ['Bristol'], 'I-ORG': ['Gloucestershire', 'Northamptonshire'], 'I-PER': ['J. Russell', 'K. Curran', 'A. Smith']}"
-DOCSTART-,{}
CRICKET - 1997 ASHES INTINERARY.,{'I-MISC': ['ASHES']}
LONDON 1996-08-30,{'I-LOC': ['LONDON']}
Australia will defend the Ashes in,"{'I-LOC': ['Australia'], 'I-MISC': ['Ashes']}"
a six-test series against England during a four-month tour,{'I-LOC': ['England']}
"starting on May 13 next year, the Test and County Cricket Board",{}
said on Friday.,{'I-ORG': ['Test and County Cricket Board']}
Australia will also play three one-day internationals and,{'I-LOC': ['Australia']}
four one-day warm-up matches at the start of the tour.,{}
The tourists will play nine first-class matches against,{}
"English county sides and another against British Universities,","{'I-MISC': ['English'], 'I-ORG': ['British Universities']}"
as well as one-day matches against the Minor Counties and,{'I-ORG': ['Minor Counties']}
Scotland.,{'I-LOC': ['Scotland']}
Tour itinerary :,{}
May,{}
May 13 Arrive in London,{}
May 14 Practice at Lord's,{'I-LOC': ['London']}
May 15 v Duke of Norfolk's XI (at Arundel),"{'I-LOC': [""Lord 's"", 'Arundel'], 'I-ORG': [""Duke of Norfolk 's XI""]}"
May 17 v Northampton,{}
May 18 v Worcestershire,{'I-ORG': ['Northampton']}
May 20 v Durham,{'I-ORG': ['Worcestershire']}
"May 22 First one-day international (at Headingley,","{'I-ORG': ['Durham'], 'I-LOC': ['Headingley']}"
Leeds),{'I-ORG': ['Leeds']}
"May 24 Second one-day international (at The Oval,",{'I-LOC': ['The Oval']}
London),{'I-LOC': ['London']}
"May 25 Third one-day international (at Lord's, London)","{'I-LOC': [""Lord 's"", 'London']}"
May 27-29 v Gloucestershire or Sussex or Surrey (three,"{'I-ORG': ['Gloucestershire', 'Sussex', 'Surrey']}"
days),{}
May 31 - June 2 v Derbyshire (three days),{'I-ORG': ['Derbyshire']}
June,{}
"June 5-9 First test match (at Edgbaston, Birmingham)","{'I-LOC': ['Edgbaston', 'Birmingham']}"
June 11-13 v a first class county (to be confirmed),{}
June 14-16 v Leicestershire (three days),{'I-ORG': ['Leicestershire']}
June 19-23 Second test (at Lord's),"{'I-LOC': [""Lord 's""]}"
"June 25-27 v British Universities (at Oxford, three days)","{'I-ORG': ['British Universities'], 'I-LOC': ['Oxford']}"
June 28-30 v Hampshire (three days),{'I-ORG': ['Hampshire']}
July,{}
"July 3-7 Third test (at Old Trafford, Manchester)","{'I-LOC': ['Old Trafford', 'Manchester']}"
July 9 v Minor Counties XI,{}
July 12 v Scotland,{'I-ORG': ['Minor Counties XI']}
July 16-18 v Glamorgan (three days),"{'I-LOC': ['Scotland'], 'I-ORG': ['Glamorgan']}"
July 19-21 v Middlesex (three days),{'I-ORG': ['Middlesex']}
July 24-28 Fourth test (at Headingley),{'I-LOC': ['Headingley']}
August,{}
August 1-4 v Somerset (four days),{'I-ORG': ['Somerset']}
"August 7-11 Fifth test (at Trent Bridge, Nottingham)","{'I-LOC': ['Trent Bridge', 'Nottingham']}"
August 16-18 v Kent (three days),{'I-ORG': ['Kent']}
"August 21-25 Sixth test (at The Oval, London).","{'I-LOC': ['The Oval', 'London']}"
-DOCSTART-,{}
SOCCER - SHEARER NAMED AS ENGLAND CAPTAIN.,"{'I-PER': ['SHEARER'], 'I-LOC': ['ENGLAND']}"
LONDON 1996-08-30,{'I-LOC': ['LONDON']}
The world's costliest footballer Alan Shearer was named as the new England captain on Friday.,"{'I-PER': ['Alan Shearer'], 'I-LOC': ['England']}"
"The 26-year-old, who joined Newcastle for 15 million pounds sterling ($ 23.4 million), takes over from Tony Adams, who led the side during the European championship in June, and former captain David Platt.","{'I-ORG': ['Newcastle'], 'I-PER': ['Tony Adams', 'David Platt'], 'I-MISC': ['European']}"
Adams and Platt are both injured and will miss England's opening World Cup qualifier against Moldova on Sunday.,"{'I-PER': ['Adams', 'Platt'], 'I-LOC': ['England', 'Moldova'], 'I-MISC': ['World Cup']}"
"Shearer takes the captaincy on a trial basis, but new coach Glenn Hoddle said he saw no reason why the former Blackburn and Southampton skipper should not make the post his own.","{'I-PER': ['Shearer', 'Glenn Hoddle'], 'I-ORG': ['Blackburn', 'Southampton']}"
"""I 'm sure there wo n't be a problem, I 'm sure Alan is the man for the job,"" Hoddle said.","{'I-PER': ['Alan', 'Hoddle']}"
"""There were three or four people who could have done it but when I spoke to Alan he was up for it and really wanted it.",{'I-PER': ['Alan']}
"""In four days it 's very difficult to come to a 100 percent conclusion about something like this ...",{}
"but he knows how to conduct himself, his team mates respect him and he knows about the team situation even though he plays up front. """,{}
Shearer's Euro 96 striking partner Teddy Sheringham withdrew from the squad with an injury on Friday.,"{'I-PER': ['Shearer', 'Teddy Sheringham'], 'I-MISC': ['Euro 96']}"
He will probably be replaced by Shearer's Newcastle team mate Les Ferdinand.,"{'I-PER': ['Shearer', 'Les Ferdinand'], 'I-ORG': ['Newcastle']}"
-DOCSTART-,{}
BASKETBALL - INTERNATIONAL TOURNAMENT RESULT.,{}
BELGRADE 1996-08-30,{'I-LOC': ['BELGRADE']}
Result in an international,{}
basketball tournament on Friday :,{}
Red Star (Yugoslavia) beat Dinamo (Russia) 92-90 (halftime,"{'I-ORG': ['Red Star', 'Dinamo'], 'I-LOC': ['Yugoslavia', 'Russia']}"
47-47),{}
-DOCSTART-,{}
SOCCER - ROMANIA BEAT LITHUANIA IN UNDER-21 MATCH.,"{'I-LOC': ['ROMANIA', 'LITHUANIA']}"
BUCHAREST 1996-08-30,{'I-LOC': ['BUCHAREST']}
Romania beat Lithuania 2-1 (halftime 1-1) in their European under-21 soccer match on Friday.,"{'I-LOC': ['Romania', 'Lithuania'], 'I-MISC': ['European']}"
Scorers :,{}
"Romania - Cosmin Contra (31st), Mihai Tararache (75th)","{'I-LOC': ['Romania'], 'I-PER': ['Cosmin Contra', 'Mihai Tararache']}"
Lithuania - Danius Gleveckas (13rd),"{'I-LOC': ['Lithuania'], 'I-PER': ['Danius Gleveckas']}"
Attendance : 200,{}
-DOCSTART-,{}
SOCCER - ROTOR FANS LOCKED OUT AFTER VOLGOGRAD VIOLENCE.,"{'I-ORG': ['ROTOR'], 'I-LOC': ['VOLGOGRAD']}"
MOSCOW 1996-08-30,{'I-LOC': ['MOSCOW']}
Rotor Volgograd must play their next home game behind closed doors after fans hurled bottles and stones at Dynamo Moscow players during a 1-0 home defeat on Saturday that ended Rotor's brief spell as league leaders.,"{'I-ORG': ['Rotor Volgograd', 'Dynamo Moscow', 'Rotor']}"
"The head of the Russian league's disciplinary committee, Anatoly Gorokhovsky, said on Friday that Rotor would play Lada Togliatti to empty stands on September 3.","{'I-MISC': ['Russian'], 'I-PER': ['Anatoly Gorokhovsky'], 'I-ORG': ['Rotor', 'Lada Togliatti']}"
"The club, who put Manchester United out of last year's UEFA Cup, were fined $1,000.","{'I-ORG': ['Manchester United'], 'I-MISC': ['UEFA Cup']}"
"Despite the defeat, Rotor are well placed with 11 games to play in the championship.",{'I-ORG': ['Rotor']}
"Lying three points behind Alania and two behind Dynamo Moscow, the Volgograd side have a game in hand over the leaders and two over the Moscow club.","{'I-ORG': ['Alania', 'Dynamo Moscow'], 'I-LOC': ['Volgograd', 'Moscow']}"
-DOCSTART-,{}
BOXING - PANAMA'S ROBERTO DURAN FIGHTS THE SANDS OF TIME.,"{'I-LOC': ['PANAMA'], 'I-PER': ['ROBERTO DURAN']}"
PANAMA CITY 1996-08-30,{'I-LOC': ['PANAMA CITY']}
"Panamanian boxing legend Roberto ""Hands of Stone"" Duran climbs into the ring on Saturday in another age-defying attempt to sustain his long career.","{'I-MISC': ['Panamanian'], 'I-PER': ['Roberto "" Hands of Stone "" Duran']}"
"Duran, 45, takes on little-known Mexican Ariel Cruz, 30, in a super middleweight non-title bout in Panama City.","{'I-PER': ['Duran', 'Ariel Cruz'], 'I-MISC': [['Mexican']], 'I-LOC': ['Panama City']}"
"The fight, Duran's first on home soil for 10 years, is being billed here as the ""Return of the Legend"" and Duran still talks as if he was in his prime.","{'I-PER': ['Duran', 'Duran'], 'I-MISC': ['Return of the Legend']}"
"""I want a fifth title.",{}
This match is to prepare me.,{}
I feel good.,{}
"I 'm not retiring, ""Duran told Reuters.","{'I-PER': ['Duran'], 'I-ORG': ['Reuters']}"
"But those close to the boxer acknowledge that the man who has won championships in four different weight classes -- lightweight, welterweight, junior middleweight and middleweight -- is drawing close to the end of his career.",{}
"""Each time he fights, he 's on the last frontier of his career.",{}
"If he loses Saturday, it could devalue his position as one of the world's great boxers, ""Panamanian Boxing Association President Ramon Manzanares said.","{'I-MISC': [['Panamanian']], 'I-ORG': ['Boxing Association'], 'I-PER': ['Ramon Manzanares']}"
"Duran, whose 97-12 record spans three decades, hopes a win in the 10-round bout will earn him a rematch against Puerto Rico's Hector ""Macho"" Camacho.","{'I-PER': ['Duran', 'Hector "" Macho "" Camacho'], 'I-LOC': ['Puerto Rico']}"
Camacho took a controversial points decision against the Panamanian in Atlantic City in June in a title fight.,"{'I-PER': ['Camacho'], 'I-MISC': ['Panamanian'], 'I-LOC': ['Atlantic City']}"
-DOCSTART-,{}
SQUASH - HONG KONG OPEN QUARTER-FINAL RESULTS.,{'I-MISC': ['HONG KONG OPEN']}
HONG KONG 1996-08-30,{'I-LOC': ['HONG KONG']}
Quarter-final results in the Hong Kong Open on Friday (prefix number denotes seeding) : 1 - Jansher Khan (Pakistan) beat Mark Cairns (England) 15-10 15-6 15-7,"{'I-MISC': ['Hong Kong Open'], 'I-PER': ['Jansher Khan', 'Mark Cairns'], 'I-LOC': ['Pakistan', 'England']}"
Anthony Hill (Australia) beat Dan Jenson (Australia) 15-9 15-8 15-17 17-15,"{'I-PER': ['Anthony Hill', 'Dan Jenson'], 'I-LOC': ['Australia', 'Australia']}"
4 - Peter Nicol (Scotland) beat 7 - Chris Walker (England) 15-8 15-13 13-15 15-9,"{'I-PER': ['Peter Nicol', 'Chris Walker'], 'I-LOC': ['Scotland', 'England']}"
2 - Rodney Eyles (Australia) beat Derek Ryan (Ireland) 15-6 15-9 11-15 15-10.,"{'I-PER': ['Rodney Eyles', 'Derek Ryan'], 'I-LOC': ['Australia', 'Ireland']}"
-DOCSTART-,{}
SOCCER - RESULTS OF SOUTH KOREAN PRO-SOCCER GAMES.,{'I-MISC': ['SOUTH KOREAN']}
SEOUL 1996-08-30,{'I-LOC': ['SEOUL']}
Results of South Korean pro-soccer,{'I-MISC': ['South Korean']}
games played on Thursday.,{}
Pohang 3 Ulsan 2 (halftime 1-0),"{'I-ORG': ['Pohang', 'Ulsan']}"
Puchon 2 Chonbuk 1 (halftime 1-1),"{'I-ORG': ['Puchon', 'Chonbuk']}"
Standings after games played on Thursday (tabulate under -,{}
"won, drawn, lost, goals for, goals against, points) :",{}
W D L G / F G / A P,{}
Puchon 3 1 0 6 1 10,{'I-ORG': ['Puchon']}
Chonan 3 0 1 13 10 9,{'I-ORG': ['Chonan']}
Pohang 2 1 1 11 10 7,{'I-ORG': ['Pohang']}
Suwan 1 3 0 7 3 6,{'I-ORG': ['Suwan']}
Ulsan 1 0 2 8 9 3,{'I-ORG': ['Ulsan']}
Anyang 0 3 1 6 9 3,{'I-ORG': ['Anyang']}
Chonnam 0 2 1 4 5 2,{'I-ORG': ['Chonnam']}
Pusan 0 2 1 3 7 2,{'I-ORG': ['Pusan']}
Chonbuk 0 0 3 3 7 0,{'I-ORG': ['Chonbuk']}
-DOCSTART-,{}
BASEBALL - RESULTS OF S. KOREAN PROFESSIONAL GAMES.,{'I-MISC': ['S. KOREAN']}
SEOUL 1996-08-30,{'I-LOC': ['SEOUL']}
Results of South Korean,{}
professional baseball games played on Thursday.,{'I-MISC': ['South Korean']}
LG 2 OB 0,"{'I-ORG': ['LG', 'OB']}"
Lotte 6 Hyundai 2,"{'I-ORG': ['Lotte', 'Hyundai']}"
Hyundai 6 Lotte 5,"{'I-ORG': ['Hyundai', 'Lotte']}"
Haitai 2 Samsung 0,"{'I-ORG': ['Haitai', 'Samsung']}"
Samsung 10 Haitai 3,"{'I-ORG': ['Samsung', 'Haitai']}"
Hanwha 6 Ssangbangwool 5,"{'I-ORG': ['Hanwha', 'Ssangbangwool']}"
"Note - Lotte and Hyundai, Haitai and Samsung played two games.","{'I-ORG': ['Lotte', 'Hyundai', 'Haitai', 'Samsung']}"
Standings after games played on Thursday (tabulate under,{}
"won, drawn, lost, winning percentage, games behind first place)",{}
W D L PCT GB,{}
Haitai 64 2 43 .596 -,{'I-ORG': ['Haitai']}
Ssangbangwool 59 2 49 .545 5 1/2,{'I-ORG': ['Ssangbangwool']}
Hanwha 58 1 49 .542 6,{'I-ORG': ['Hanwha']}
Hyundai 57 5 49 .536 6 1/2,{'I-ORG': ['Hyundai']}
Samsung 49 5 56 .468 14,{'I-ORG': ['Samsung']}
Lotte 46 6 54 .462 14 1/2,{'I-ORG': ['Lotte']}
LG 46 5 59 .441 17,{'I-ORG': ['LG']}
OB 42 6 62 .409 20 1/2,{'I-ORG': ['OB']}
-DOCSTART-,{}
TENNIS - FRIDAY'S RESULTS FROM THE U.S. OPEN.,{'I-MISC': ['U.S. OPEN']}
NEW YORK 1996-08-30,{'I-LOC': ['NEW YORK']}
Results from the U.S. Open Tennis Championships at the National Tennis Centre on Friday (prefix number denotes seeding) :,"{'I-MISC': ['U.S. Open Tennis Championships'], 'I-LOC': ['National Tennis Centre']}"
"Women's singles, third round",{}
Sandrine Testud (France) beat Ines Gorrochategui (Argentina) 4-6 6-2 6-1,"{'I-PER': ['Sandrine Testud', 'Ines Gorrochategui'], 'I-LOC': ['France', 'Argentina']}"
"Men's singles, second round",{}
4 - Goran Ivanisevic (Croatia) beat Scott Draper (Australia) 6-7 (1-7) 6-3 6-4 6-4,"{'I-PER': ['Goran Ivanisevic', 'Scott Draper'], 'I-LOC': ['Croatia', 'Australia']}"
Tim Henman (Britain) beat Doug Flach (U.S.) 6-3 6-4 6-2,"{'I-PER': ['Tim Henman', 'Doug Flach'], 'I-LOC': ['Britain', 'U.S.']}"
Mark Philippoussis (Australia) beat Andrei Olhovskiy (Russia) 6 - 3 6-4 6-2,"{'I-PER': ['Mark Philippoussis', 'Andrei Olhovskiy'], 'I-LOC': ['Australia', 'Russia']}"
Sjeng Schalken (Netherlands) beat David Rikl (Czech Republic) 6 - 2 6-4 6-4,"{'I-PER': ['Sjeng Schalken', 'David Rikl'], 'I-LOC': ['Netherlands', 'Czech Republic']}"
Guy Forget (France) beat 17 - Felix Mantilla (Spain) 6-4 7-5 6-3,"{'I-PER': ['Guy Forget', 'Felix Mantilla'], 'I-LOC': ['France', 'Spain']}"
"Men's singles, second round",{}
Alexander Volkov (Russia) beat Mikael Tillstrom (Sweden) 1-6 6- 4 6-1 4-6 7-6 (10-8),"{'I-PER': ['Alexander Volkov', 'Mikael Tillstrom'], 'I-LOC': ['Russia', 'Sweden']}"
Jonas Bjorkman (Sweden) beat David Nainkin (South Africa)) 6-4 6-1 6-1,"{'I-PER': ['Jonas Bjorkman', 'David Nainkin'], 'I-LOC': ['Sweden', 'South Africa']}"
"Women's singles, third round",{}
8 - Lindsay Davenport (U.S.) beat Anne-Gaelle Sidot (France) 6-0 6-3,"{'I-PER': ['Lindsay Davenport', 'Anne-Gaelle Sidot'], 'I-LOC': ['U.S.', 'France']}"
4 - Conchita Martinez (Spain) beat Helena Sukova (Czech Republic) 6-4 6-3,"{'I-PER': ['Conchita Martinez', 'Helena Sukova'], 'I-LOC': ['Spain', 'Czech Republic']}"
Amanda Coetzer (South Africa) beat Irina Spirlea (Romania) 7-6 (7-5) 7-5,"{'I-PER': ['Amanda Coetzer', 'Irina Spirlea'], 'I-LOC': ['South Africa', 'Romania']}"
"Add Men's singles, second round 16 - Cedric Pioline (France) beat Roberto Carretero (Spain) 4-6 6 - 2 6-2 6-1 Alex Corretja (Spain) beat Filippo Veglio (Switzerland) 6-7 (4- 7) 6-4 6-4 6-0","{'I-PER': ['Cedric Pioline', 'Roberto Carretero', 'Alex Corretja', 'Filippo Veglio'], 'I-LOC': ['France', 'Spain', 'Spain', 'Switzerland']}"
"Add Women's singles, third round Linda Wild (U.S.) beat Barbara Rittner (Germany) 6-4 4-6 7-5 Asa Carlsson (Sweden) beat 15 - Gabriela Sabatini (Argentina) 7-5 3-6 6-2","{'I-PER': ['Linda Wild', 'Barbara Rittner', 'Asa Carlsson', 'Gabriela Sabatini'], 'I-LOC': ['U.S.', 'Germany', 'Sweden', 'Argentina']}"
"Add Men's singles, second round 1 - Pete Sampras (U.S.) beat Jiri Novak (Czech Republic) 6-3 1-6 6-3 4-6 6-4 Paul Haarhuis (Netherlands) beat Michael Tebbutt (Australia) 1- 6 6-2 6-2 6-3","{'I-PER': ['Pete Sampras', 'Jiri Novak', 'Paul Haarhuis', 'Michael Tebbutt'], 'I-LOC': ['U.S.', 'Czech Republic', 'Netherlands', 'Australia']}"
"Add Women's singles, third round Lisa Raymond (U.S.) beat Kimberly Po (U.S.) 6-3 6-2","{'I-PER': ['Lisa Raymond', 'Kimberly Po'], 'I-LOC': ['U.S.', 'U.S.']}"
:,{}
"Add men's singles, second round",{}
Hendrik Dreekmann (Germany) beat Thomas Johansson (Sweden),"{'I-PER': ['Hendrik Dreekmann', 'Thomas Johansson'], 'I-LOC': ['Germany', 'Sweden']}"
7-6 (7-1) 6-2 4-6 6-1,{}
Andrei Medvedev (Ukraine) beat Jan Kroslak (Slovakia) 6-4 6-3,"{'I-PER': ['Andrei Medvedev', 'Jan Kroslak'], 'I-LOC': ['Ukraine', 'Slovakia']}"
6-2,{}
Petr Korda (Czech Republic) bat Bohdan Ulihrach (Czech,"{'I-PER': ['Petr Korda', 'Bohdan Ulihrach'], 'I-LOC': ['Czech Republic']}"
Republic) 6-0 7-6 (7-5) 6-2,{'I-LOC': ['Czech Republic']}
"Add women's singles, third round",{}
2 - Monica Seles (U.S.) beat Dally Randriantefy (Madagascar),"{'I-PER': ['Monica Seles', 'Dally Randriantefy'], 'I-LOC': ['U.S.', 'Madagascar']}"
6-0 6-2,{}
:,{}
"Add men's singles, second round 12 - Todd Martin (U.S.) beat Andrea Gaudenzi (Italy) 6-3 6-2 6-2 Stefan Edberg (Sweden) beat Bernd Karbacher (Germany) 3-6 6-3 6-3 1-0 retired (leg injury)","{'I-PER': ['Todd Martin', 'Andrea Gaudenzi', 'Stefan Edberg', 'Bernd Karbacher'], 'I-LOC': ['U.S.', 'Italy', 'Sweden', 'Germany']}"
-DOCSTART-,{}
BASEBALL - MAJOR LEAGUE STANDINGS AFTER THURSDAY'S GAMES.,{'I-MISC': ['MAJOR LEAGUE']}
NEW YORK 1996-08-30,{'I-LOC': ['NEW YORK']}
Major League Baseball,{}
"standings after games played on Thursday (tabulate under won,",{'I-MISC': ['Major League Baseball']}
"lost, winning percentage and games behind) :",{}
AMERICAN LEAGUE,{}
EASTERN DIVISION,{}
W L PCT GB,{'I-MISC': ['AMERICAN LEAGUE EASTERN DIVISION']}
NEW YORK 74 59 .556 -,{'I-ORG': ['NEW YORK']}
BALTIMORE 70 63 .526 4,{'I-ORG': ['BALTIMORE']}
BOSTON 69 65 .515 5 1/2,{'I-ORG': ['BOSTON']}
TORONTO 63 71 .470 11 1/2,{'I-ORG': ['TORONTO']}
DETROIT 48 86 .358 26 1/2,{'I-ORG': ['DETROIT']}
CENTRAL DIVISION,{}
CLEVELAND 80 53 .602 -,"{'I-MISC': [['CENTRAL', 'DIVISION']], 'I-ORG': ['CLEVELAND']}"
CHICAGO 71 64 .526 10,{'I-ORG': ['CHICAGO']}
MINNESOTA 67 67 .500 13 1/2,{'I-ORG': ['MINNESOTA']}
MILWAUKEE 64 71 .474 17,{'I-ORG': ['MILWAUKEE']}
KANSAS CITY 61 74 .452 20,{'I-ORG': ['KANSAS CITY']}
WESTERN DIVISION,{}
TEXAS 75 58 .564 -,"{'I-MISC': [['WESTERN', 'DIVISION']], 'I-ORG': ['TEXAS']}"
SEATTLE 70 63 .526 5,{'I-ORG': ['SEATTLE']}
OAKLAND 64 72 .471 12 1/2,{'I-ORG': ['OAKLAND']}
CALIFORNIA 62 72 .463 13 1/2,{'I-ORG': ['CALIFORNIA']}
"FRIDAY, AUGUST 30 SCHEDULE",{}
KANSAS CITY AT DETROIT,{'I-ORG': ['KANSAS CITY']}
CHICAGO AT TORONTO,"{'I-LOC': [['DETROIT']], 'I-ORG': ['CHICAGO']}"
MINNESOTA AT MILWAUKEE,"{'I-LOC': [['TORONTO']], 'I-ORG': ['MINNESOTA']}"
CLEVELAND AT TEXAS,"{'I-LOC': [['MILWAUKEE']], 'I-ORG': ['CLEVELAND']}"
NEW YORK AT CALIFORNIA,"{'I-LOC': [['TEXAS']], 'I-ORG': ['NEW YORK']}"
BOSTON AT OAKLAND,"{'I-LOC': [['CALIFORNIA']], 'I-ORG': ['BOSTON']}"
BALTIMORE AT SEATTLE,"{'I-LOC': [['OAKLAND']], 'I-ORG': ['BALTIMORE']}"
NATIONAL LEAGUE,{'I-LOC': [['SEATTLE']]}
EASTERN DIVISION,{}
W L PCT GB,{'I-MISC': ['NATIONAL LEAGUE EASTERN DIVISION']}
ATLANTA 83 49 .629 -,{'I-ORG': ['ATLANTA']}
MONTREAL 71 61 .538 12,{'I-ORG': ['MONTREAL']}
FLORIDA 64 70 .478 20,{'I-ORG': ['FLORIDA']}
NEW YORK 59 75 .440 25,{'I-ORG': ['NEW YORK']}
PHILADELPHIA 54 80 .403 30,{'I-ORG': ['PHILADELPHIA']}
CENTRAL DIVISION,{}
HOUSTON 72 63 .533 -,"{'I-MISC': [['CENTRAL', 'DIVISION']], 'I-ORG': ['HOUSTON']}"
ST LOUIS 69 65 .515 2 1/2,{'I-ORG': ['ST LOUIS']}
CINCINNATI 66 67 .496 5,{'I-ORG': ['CINCINNATI']}
CHICAGO 65 66 .496 5,{'I-ORG': ['CHICAGO']}
PITTSBURGH 56 77 .421 15,{'I-ORG': ['PITTSBURGH']}
